Silpi Köyünde	НАРСПИ
Üfürür sarı gelin	Вӗрет сурать сарӑ кин
Çorbasını kaynatıp	Хӑй яшкине пӑтратса
Kaynar ölüm çorbası	Вилӗм ЯШКИ вӗрет çке
Yılan gibi fışlayıp	Çӗлeн пекех чашласа
Akşam oldu kocası	Каç пулсассӑн упӑшки
Tarladan geri döndü	Килчӗ хиртен çаврӑнса
Masa üstünde tüten	Сӗтел çийӗнче яшки
Güzel çorbayı gördü	Ларать пӑсне кӑларса
Kaşık aldı Tĭhtaman	Кашӑк илчӗ Тӑхтаман
Masa başına çöktü	Ларчӗ сӗтел хушшине
Çorba tatlıym ış bugün	Яшка тутлӑ çке паян
Diye çorbayı övdü	Тесе мухтать яшкине
Gözlerini devirip	Усал куçпа çавӑрса
Yumruğunu çıkardı	Кӑтартать вӑл чӑмӑрне
Çorba güzel ye diye	Яшка тухлӑ çи ларса
Karısını çağırdı	Кашкӑрать валарамне
Yiyeceğim sonradan	Çийп çкe xa кайран та
Şimdi pek aç değilim	Пит çиессӗмех килмест
Diyerek Narspi ordan	Ах Нарспийӗ çавӑнта
Dışarıya çıkıyor	Тухса каять тўсеймест
Dışarda gözyaşını	Тулта ларать куççульне
Toprağa akıtıyor	Тӑпра çине юхтарса
Evdekiyse çorbayı	Пўртри çиет яшкине
Sallanarak içiyor	Урлӑ пирлӗ тайӑлса
İç şimdi iç Tĭhtaman	Çnex çиех Тӑхтаман
Arsenikli çorbayı	Hаркӑмӑшлӑ яшкана
Artık bundan sonra sen	Ӗнтӗ эсӗ малашне
Eş değilsin karına	Упӑшка мар арӑмна
Bittin şimdi Tĭhtaman	Пӗтрӗн ӗнтӗ Тӑхтаман
Bu dünya senin değil	Çyтӑ тӗнче санӑн мар
Narspi çabuk eve gir	Нарспи часрах кӗр пурте
Çok uykum var  yatak ser	Ӑйхӑ килет вырӑн cap
Tarla sürdüm  yoruldum	Ака турӗм  ӗтлентӗм
Sanki içim yanıyor	Ашӑм çунать çaвтepex
Çorbadan sonraki su	Яшка хыççӑн шыв ӗçрӗм
Şarap gibi geliyor	Туйӑнчӗ эрех пекех
Narspi girdi işitip	Нарспи кӗчӗ итлесе
Yere düşmüş kocası	Çӗpтe ларать упӑшки
Tüm içini dışını	Пӗтӗм ӑшне чиккине
Yakmış zehir çorbası	Çyрать хӑватлӑ яшки
Kadın serdi yatağı	Арӑм сарчӗ вырӑнне
Kocasını yatırdı	Упӑшкине вырттарчӗ
Çırpınıp dövünerek	Çӗклe çӗклe çапрӗ те
Ruhunu teslim etti	Чунӗ ўтне хӑварчӗ
Bitti bir can dünyada	Пӗтрӗ пӗр чун тӗнчере
İşleri sona erdi	Ӗçӗсемшӗн хупланчӗ
Bitti Çuvaş ömürü	Пӗтрӗ чӑваш ӗмӗрӗ
Sustu artık yüreği	Унӑн чӗри лӑплӑнчӗ
Evde masa  oturak	Пўртри сӗтел пукансем
Kadını ürkütmede	Хӑратаççӗ арӑмне
Bakarlar acıyarak	Пайтах пӑхрӗç шеллесе
Kocanın ölüsüne	Хуçин сивӗ виллине
Fakat gece olunca	Анчах çӗрле пулчӗ те
Karanlık bastı evi	Сӗм хупларӗ пўрт ӑшне
Adam uzun eliyle	Хӑйӗн вӑрӑм аллипе
Korkutuyor Narspiyi	Хӑратать вӑл Нарспие
Bitti Çuvaş yaşamı	Пӗтрӗ чӑваш ӗмӗрӗ
Yerinden kalkmayacak	Вырӑн çинчен тӑрас çук 
Aç koyun  kuzulara	Выçӑ выльӑх  чӗрлӗхне
Yiyecek atmayacak	Тӑрса апат парас çук
Aç saban atları da	Выçӑ ака лашисем
Kişniyorlar avluda	Кӗçенеççӗ картара
Fakat sizler  yetimler	Анчах эсир тӑлӑхсем
Sahibiniz yok orda	Курассӑр çук хуçapa
Köyün kara ormanı	Ялвӗçӗнче сӗм вӑрман
Hışır hışır hışırdar	Чашӑлтатать çулçипе
Tepede ışıl ışıl	Хушка çӑлтӑр вылятать
Parlak yıldızlar oynar	Çyл Tўnepe çуттипе
Huşĭlkalı Çuvaşlar	Хушӑлкари чӑвашсем
Horul horul uyuyor	Çывӑpaççӗ харлатса
Yalnız ambarda baykuş	Анкартинчи тӑмана
Guklayıp uçuşuyor	Анчах вӗçет ухлатса
Yarım ay salınarak	Уйӑх кукри ярӑнса
Orman ardından çıktı	Тухрӗ вӑрман хыçӗнчен
Yavaş yavaş yürüyüp	Шӑппӑн шӑппӑн çeç утса
Narspi evinden çıktı	Тухрӗ Нарспи пўртӗнчен
Süzüldü gölge gibi	Кайрӗ мӗлке пек шуса
Evlerin arkasına	Анкартисем хыçнелле
Köyden çıktı  yöneldi	Ялтан тухрӗ ыткӑнса
Koşup gitti ormana	Чупрӗ вӑрман ӑшнелле
Ay ışığı altında	Курас тесе ӑнтӑлса
Görmeye çalışıyor	Уйӑх чупрӗ тахçанччен
Ormansa arkasından	Вӑрман анчах шавласа
Gürüldeyip çınlıyor	Юлчӗ Нарспи хыçeнчен
Narspi yürür ormanda	Нарспи пырать вӑрманпа
Amaçsız  hızlı hızlı	Темшӗн ытла ыткӑнса
Orman sessizliğiyle	Шӑппӑн тӑрать сӗм вӑрман
Korkutuyor Narspiyi	Нарспи чунне хӑратса
Koca koca ağaçlar	Армак чармак йывӑçсем
Başlarını sallıyor	Пуçӗсемпе суллаççӗ
Narspi gelip geçerken	Нарспи иртсе пынӑ чух 
Yollarını kesiyor	Сулне пўлсе тӑраççӗ
Ağaçlar arasında	Ват йывӑçсем хушшинче
Şeytanlar oynaşmakta	Арçурисем выляççӗ
Narspi gelip geçerken	Нарспи иртсе пынӑ чух
Ona el uzatmakta	Аллисене тӑсаççӗ
Ansızın rüzgar çıktı	Сасартӑках çил тухса
Azıverdi gür orman	Асрӗ кайрӗ сӗм вӑрман
Çepeçevre haykırır	Йӗри тавра ахӑрать
Tut karını Tĭhtaman	Тыт арӑмна Тӑхтаман
Tut karını ihtiyar	Тыт арӑмна упӑшка
Kaçıyor kötü karın	Тарать усал арӑму
Sanki bir şeytan gibi	Вӑтӑр та пӗр шуйттан пек 
Orman ulur u u u	Вӑрман улать у у у
Erkenden giyinerek	Ирех тӑрса тумланса
Sentti oyuna gitti	Сентти тухрӗ выляма
At sopasına binip	Кӗвентине утланса
Yengeciğine koştu	Чупрӗ инкӗшне курма
Fakat yenge evde yok	Анчах инкӗш курӑнмасть
Amcasıysa uyuyor	Пиччӗш халь те çывӑрать
Ne yapsa uyanmıyor	Тӑратса та вӑранмасть
Sentti çok şaşırıyor	Сентти шӑпах аптӑрать
Biri gelip girdi de	Пӗр Çын килсе кӗчӗ те
Yerinde donup kaldı	Хытса кайрӗ вырӑнтах
Bakıp durdu durdu da	Пӑхса тӑчӗ тӑчӗ те
Oradan çıkıp gitti	Тухса кайрӗ çaвӑнтах
Gittikten biraz sonra	Пӑртак тӑрсан вӑл кайсан
Eve insanlar doldu	Тулчӗ пўрте тулли çын
Nasıl ölmüş Tĭhtaman	Епле вилнӗ Тӑхтаман
Narspi gelin ne oldu	Ӑçтa кайнӑ Нарспи кин
Yok  ne kadar sorsan da	Çyк мӗн чухлӗ ыйтсан та
Ölü cevap veremez	Сире виле калас çук
Narspi kaçmış ormana	Нарспи çўрет вӑрманта
Onu kimse bulamaz	Эсир ӑна тупас çук
Silpide	Силпире
Büyük Silpi köyünde	Аслӑ Силпи ялӗнче
Hayat geçiyor sakin	Хуллен шӑвать пурӑнӑç
Geçip gitti bayramda	Иртсе кайрӗç çимӗкри
Yaşanan büyük neşe	Ырӑлӑхпа савӑнӑç
Çuvaş gömleği ala	Чӑваш кӗпи улача
Tarlalarda masmavi	Хир варринче кӑн кӑвак
Çalışır türkülerle	Ӗçчен чӑваш вӑкӑр пек
Çuvaş bir öküz gibi	Юрла юрла ӗç тӑвать
Gün doğarken kalkıyor	Тӑрать шaурӑмпуçӗпе
Tarlasına gidiyor	Ирех хире вӑл тухать
Azıcık yemek yiyip	Кӑшт кӑшт апат тӑвать те
Tırpanını alıyor	Çyтӑ çава вӑл йӑтать
Ürün duası edip	Учўк хыççӑн чӑвашсем
Çalışırlar tarlada	Айкашрӗçӗ хирсенче
Kuru ot yığınları	Валем купа капансем
Çayırların üstünde	Ларчӗç улӑх варринче
Keskin tırpan fınladı	Çивчӗ çава вашлатрӗç
Biçilmemiş otlarda	Çyлмaн çаран çийӗнче
Olgun çavdar sarardı	Пуçлӑ ыраш саралчӗ
Bozkınn ortasında	Çeçeнxиpceн хушшинче
Dedikodu çok köyde	Сӑмах нумай ял çинче
Dilinse kemiği yok	Çeмçe чӗлхе вӗçӗнче
Doğru olan da vardır	Тӗрӗсси те пур тӑр çав
Bu sözlerin içinde	Ялти сӑмах хушшинче
Silpide de insanlar	Силпире те этемсем
Narspi  Tĭhtaman  diyor	Нарспи Тӑхтаман тeççe
Çoktandır Tĭhtamanın	Вӗсем тaxçaн Тӑхтаман
Yaptığını biliyor	Хаяррине пӗлеççӗ
Miheter korkusuyla	Михетертен шикленсе
Gizlice konuşuyor	Вӑрттӑн çӗрте сӑмахсем
Başlarını eğerek	Пуçне чиксе шеллесе
Çuvaşlar üzülüyor	Аптӑраççӗ чӑвашсем
Setner çocuk  herkesten	Сетнер ача çынсенчен
Bu sözleri duyunca	Çaв сӑмаха илтсенех
Ayrıldı annesinden	Амӑшӗнчен уйрӗлса
Yürüdü tek başına	Кайрӗ таçта пӗчченех
Tarlada çalışanlar	Çынceм хирте ӗçлесе
Akşam eve dönüyor	Каçпа килне килеççӗ
Akşam yemeği yerken	Каçхи апат тунӗ чух
Narspiyle Setner diyor	Нарспи Сетнер тиеççӗ
Setner yürüdü yalnız	Сетнер утрӗ пӗр пӗччен
Girip gitti ormana	Кӗрсе кайрӗ вӑрмана
Narspinin acısıyla	Нарспи асапне илтсе
Ölüm kusar düşmana	Вилӗм сунать тӑшмана
Karanlık bastıracak	Тӗттӗм пулӗ каç пулӗ
Düşmana gidene dek	Тӑшман патне çитиччен
Düşmanım yok olacak	Тӑшман чӗри лӑпланӗ
Güneş doğuncaya dek	Хӗвел кусса тухиччен
Gün çıkıp  ışıtacak	Хӗвел тухӗ çутатӗ
İnsanlar uyanacak	Этем тӑрӗ ӑйхӑран
Düşman uyanmayacak	Тӑшман анчах вӑранмӗ
Uyku ağır olacak	Ӑйхи ытла йывӑртан
Gün çıkıp  ışıtacak	Хӗвел тухӗ çутатӗ
Olacağız ormanda	Эпӗ пулӑп вӑрманта
Ne Narspi evde olacak	Тӑшман выртӑн хускалмӑн
Ne de düşman hayatta	Нарспи пулми çуртӑнта
Fakat Narspi o yokken	Анчах Нарспи унсӑрах
Çıkıp gitti evinden	Кӗçӗр тухрӗ килӗнчен
Kaçıverdi düşmandan	Xӑex тарчӗ ташманран
Sevgilisi gelmeden	Савни пырса çитиччен
Ormanda	Вӑрманта
Gürlüyor kara orman	Шавлать кашлать сӗм вӑрман
Ucu yok bucağı yok	Вӗçӗ хӗрри курӑнмасть
Başsız sonsuz bir rüzgar	Кутсӑр пуçсӑр çил тухсан
Sanki duracağı yok	Чарӑнассӑн туйӑнмасть
Gürülder kara orman	Шавлать кашлать сӗм вӑрман
Haykırır sanki yanar	Тамӑкрӗ пек ахӑрать
Ne cinler ne de şeytan	Те арçури те шуйттан
Böyle oyunlar oynar	Çaв териех ашкӑнать
Dalga dalga gelip yel	Тапхӑр  тапхӑр çил килет
Paldır küldür dönüyor	Пӑлтӑр  палтӑр çавӑрса
Gürüldeyerek orman	Тӗттӗм вӑрман ўхӗрет
Dallar yere değiyor	Çӗpe çитех авӑнса
Kara bulut sürekli	Хура пӗлӗт пӗрмаях
Ormanın tepesinde	Шӑвать вӑрман тӑрринче
Şimşekler parıldıyor	Ярать çиçӗм çӗр çурсах
Bulutlar arasında	Хура пӗлӗт хушшинче
Bir yıldırım düşüyor	Аçа çапать шартлатать
Tüm dünya sarsılıyor	Пӗтӗм тӗнче кисренет
Yağmur ırmaklar gibi	Çyмӑр çырма пек юхать
Çağıldayıp akıyor	Лупашкасенче кӗрлет
Kara  kapkara orman	Сӗм сӗм вӑрман сӗм вӑрман
Niçin b lersin	Мӗншӗн хытӑ шавлатӑн
Gürül gürül çağlayıp	Мӗншӗн шӑй шӑй шӑхӑрса
Narspiyi korkutursun	Мӗскӗн чуна хӑрататӑн
Orman daha da kötü	Вӑрман тата хытӑрах
Gürlüyor  bağırıyor	Шавлать йӗрет ахӑрать
Tanrım  acı  bırakma	Турӑ çырлах ан пӑрах
Kıyametler kopuyor	Ахӑрсаман хускалать
Ah  günahlı başımı	Ах çылӑхлӑ пуçӑма
Nereye sokayım ki	Ӑçтa чиксе хурам ши
Ah  günahlı canımı	Ах çылӑхлӑ чунӑма
Nasıl saklayayım ki	Епле тытса чарам ши
Zavallı Setneriyse	Епле Сетнер мӗскӗн çкe
Kaybolmuş bu ormanda	Урнӑ вӑрман ӑшӗнче
Koca koca ağaçlar	Апле çирӗп йывӑçсем
Başının üzerinde	Юрлаççӗ nyç тӑрринче
Daracık patikada	Вӑрман хӗсӗк çулӗпе
Kendini avutuyor	Ӑш çуннине пусарса
Gürültüyü bastıran	Вӑрман шавне хуплас пек
Türkülerle yürüyor	Пырать сетнер юрласа
Kara  kapkara orman	Сӗм сӗм вӑрман сӗм вӑрман
Niçin haykırıyorsun	Мӗншӗн хытӑ шавлатӑн
Niçin gür gür gürleyip	Мӗншӗн шӑй шай шӑхӑрса
Onu korkutuyorsun	Мӗскӗн чуна хӑрататӑн
Ah  şu derdimi dinle	Ах ман хуйхӑм итле ха
Niçin beni yandırdın	Мӗншӗн мана çунтаратӑн
Niçin bana  öksüze	Мӗншӗн мана тӑлӑха
Sevinci unutturdun	Савӑнӑçа мантаратӑн
Doğdum sanki annemden	Çypaлтӑм мӗн аннерен
Acı azap çekmeye	Хӗн хур асап курма çeç
Bu azaptan  acıdan	Çaв асапран хӗнлӗхрен
Genç yaşımda ölmeye	Çaмpӑк пуçӑм пӗтни çeç
Genç başım yok olmazdı	Çaмpӑк пуçӑм пӗтмӗччӗ
Yoksulluğum bitirdi	Мулӑм çукки пӗтерчӗ
О da bir neden oldu	Вӑлта пулин юрӗччӗ
Kötü insan bitirdi	Çын ухмаххи пӗтерчӗ
Kötülükler eklendi	Çын ухмаххи юрӗччӗ
Kötü düşman bulundu	Усал Тӑшман тупӑнчӗ
İnsan kötü değilse	Усал Тӑшман пӗтӗччӗ
Tanrının yazdığıydı	Турӑ çырни курӑнчӗ
Setner şarkı söylüyor	Сетнер юрлать юррине
Esip güçlü fırtına	Вӑйлӑ тӑвӑл тапранса
Bu şarkıyı alıyor	Сетнер юррине илсе
Uçuruyor ormanda	Вӗçет йӗрсе ахӑрса
Bu kaygılı ağlayış	Çaв хуйхӑллӑ сасӑсем
Yüreği parçalıyor	Чуна çypca йӗреççӗ
Rüzgarlarla birlikte	Вӑйлӑ тӑвӑлпа пӗрле
Her yere ulaşıyor	Taçтa çитex çитеççӗ  
Kara orman içinde	Хура вӑрман ӑшӗнче
Yavaş yavaş eriyor	Хуллен  хуллен пӗтеççӗ
Şarkıdaki gözyaşı	Çaв юрӑри куççульсем
Bir cana ulaşıyor	Пӗр чун патне çитеççӗ
Orada uzaklarda	Taçтaн Taçтaн аякран
Biri daha ağlıyor	Тепӗри хирӗç макӑрать
Kötü dertle kaygıyla	Усал асап хуйхӑран
Bir can daha yanıyor	Унта тепӗр чун çунать
Türkü söyleyen bir ses	Такам юррин сассисем
Setnere ulaşıyor	Кӗрет Сетнер хӑлхине
Sert rüzgarla birlikte	Вӑйлӑ тӑвaлпа пӗрле
Setner türkü söylüyor	Юрлать Сетнер юррине
Kara kapkara orman	Хура вӑрман сӗм вӑрман
Niçin böyle gürledin	Мӗншӗн хытӑ шавлатӗн
Sesin sevgilim gibi	Савни пекех юрласа
Yüreğimi ürküttün	Вилнӗ чуна вӑрататӑн
Kara  kapkara orman	Тӗттӗм вӑрман сӗм вӑрман
Aldatma şu öksüzü	Ан ултала тӑлӑха
Sesin sevgilim gibi	Савни пекех юрласа
Salma kötülüğünü	Ан хӑварсам хурлӑха
Büyük de kara orman	Аслӑ вӑрман сӗм вӑрман
Bana doğruyu söyle	Мана чӑнне кала ха
Acıyıp şu canıma	Мӗскӗн чуна шеллесе
Artık yarimi göster	Чун савнине кӑтарт ха
İşte işte geliyor	Анчах утать кунталла
Bana doğru bir kadın	Ман паталла хӗрарӑм
Tanrım sen bana acı	Ырӑ турӑ çырлахсам
Narspi  Narspi sen misin	Нарспи Нарспи эсӗ им
Aşıklar kavuşunca	Икӗ савни пӗрлешсен
Meşe başını eğdi	Пуçне тайрӗ ват юман
Rüzgar bir kez esti de	Пӗр ик тапхӑр çил вӗрсен
Sonra tümüyle sustu	Шӑп лӑпланчӗ сӗм вӑрман
Dağıldı kara bulut	Хура пӗлӗт саланса
Gitti orman ardına	Пӗтрӗ вӑрман хыçӗнчe
Güneş sıcak gülüyor	Хӗвел пӑхать шӑратса
Kuşlar öter yuvada	Кайӑк юрлать йӑвинче
Çim üstünde çiğlere	Курӑк çинчи сывлӑма
Gün sıcağı düşüyor	Хӗвел парать ӑшшине
Sevişen iki cana	Икӗ чуна савӑшма
Gün ışığı düşüyor	Хӗвел парать çуттине
Işıldıyor güzel gün	Ялтӑртатать ырӑ кун
Kötü günün işi ne	Усал кунӑн мӗн ӗç пур
Mutlu yürür iki can	Савӑнса утать икӗ чун
Yabancının işi ne	Çичӗ ютӑн мӗн ӗç пур
Fakat orman içinde	Анчах вӑрман ӑшӗнче
Kara kuş cayırdıyor	Хура кайӑк чӑйлатать
Ay Tĭhtaman Tĭhtaman	Ай Тӑхтаман Тӑхтаман
O Narspiyi istiyor	Нарспи чунне вӑл шырать
Baba Anne	Атте Анне
Setnerlerin evinde	Сетнер пӗчӗк пўртӗнче
Oturmuşlar başbaşa	Вӗсем иккӗш лараççӗ
Alçacık bir masada	Лутра сӗтел хушшинче
Yemek hazırlanmakta	Каçхи апат тӑваççӗ
Setnerin anacığı	Сетнер ватӑ амӑшӗ
Komşudan turĭh buldu	Турӑх тупрӗ кўршӗрен
Hazırlayıp yemeği	Çӑкӑp тӑвap кӑларса
Masa üstüne koydu	Хучӗ сӗтел ӑшӗнчен
Yemek yiyip iki can	Апатланса икӗ чун
Sevgiyle konuşuyor	Хӗрў сӑмах калаçать
Setnerin anacığı	Ватӑ карчӑк амӑшӗ
Dinleyip oturuyor	Шӑппӑн итлесе ларать
Anıyorlar geçmişi	Асӑнаççӗ ӗлӗкхи
İyi güzel geçmişi	Ырӑ лӑпкӑ пурӑнӑçне
Geçmişteki sevinci	Каçхи вӑйӑ уллаха
Ve bayram öncesini	Çимӗкчeнxи кунсене
Ansızın işitildi	Сасартӑках илтӗнчӗ
Ayak sesi dışardan	Ура сасси пӑлтӑртан
Miheterle karısı	Михетерпе карчӑкӗ
Gelip girdi kapıdan	Килчӗç кӗчӗç алӑкран
Yaşlı Kadın	Карчӑк
Bizim Narspi bu evde	Пирӗн Нарспи ку пўртре
Değil mi  diye geldik	Çyк ши тесе килтӗмӗр
Köydeki insanlardan	Ялти ырӑ çынсенчен
Burada diye işittik	Кунта тесе илтрӗмӗр
Miheter	Михетер
Eh kız kız kızım sen	хӗр хӗ ӗрхӗр иэс
Narspi ne yaptın böyle	Нарспи мӗскер хӑтлантӑн
Bütün köyün önünde	Епле çынсен умӗнче
Nasıl davrandın böyle	Çaк намӑса кӑтартрӑн
Ne yetmedi ki sana	Мӗн çитмерӗ ши сана
Ne yetmedi dünyada	Мӗн çитмерӗ тӗнчере
Niçin kızım  ne var ki	Мӗншӗн хӗрӗм мӗн пуртан
Sevdin sen bu Setneri	Юрататӑн Сетнере
Zengin kızı başınla	Пуян хӗрӗ пуçупа
Niçin böyle davrandın	Мӗншӗн çапла хӑтлантӑн
Başıma gelmeyeni	Ӗмӗр курм ан намӑса
Bu yaşımda gösterdin	Ват пуçӑмпа кӑтартрӑн
Yaşlı Kadın	Карчӑк
Ne yetmez ki aptala	Мӗн çитмен ши ухмаха
Eşini öldürmeye	Упӑшкине вӗлерме
Ormanda bu Setnerle	Çaк Сетнерпе вӑрманта
Dolaşıp yürümeye	Лапӑш татса çўреме
Miheter	Михетер
Şükür ki şimdiye dek	Турра шӗкӗр халиччен
Kötü söz işitmedim	Усал сӑмах илтменччӗ
Bugünlere geldim de	Çaк тарана çитиччен
Kiremet ilişmedi	Киремет те тивменччӗ
Benim evim barkıma	Манӑн килӗм  çypтӑмa
İyi melekler baktı	Ырӑ пирӗшти пӑхатчӗ
Bu nedenle köyümde	Ырӑ пирӗшти пӑхнипе
Adım kötü olmadı	Ялта ятӑм кайманччӗ
Pülih  hĭrpan bu dünya	Пулӗх хӑрпан çyт тӗнче
Beni her zaman sevdi	Мана савса тӑратчӗç
Kĭvak huppi ve güneş	Кӑвак хуппи çут хӗвел
Bana iyi davrandı	Мана тупӑш паратчӗç
Bugüne dek geldim de	Çaк тарана çитрӗм те
Şimdi başım eğildi	Ватӑ пуçӑм усӑнчӗ
Senin böyle olmanla	Эсӗ çапла пулнипе
İyi günlerim bitti	Ырӑ кунӑм пӑсӑлчӗ
Yaşlı Kadın	Карчӑк
Mihetere	Михетере
Dövsene şimdi şunu	Вӑрçсам ӗнтӗ хытӑрах
Cezalandır Setneri	Пӑсӑрлантар Сетнерне
Nasırlı elleriyle	Ӗçре хытнӑ аллипе
İstemesin kızını	Ан хапсӑнтӑр çын хӗрне
Miheter	Михетер
Küçücükten büyüttüm	Мӗн кӗçӗнрен ўстертӗм
Kız gönlünü kırmadım	Хӗр кӑмӑлне татмарӑм
Sevgili kızım için	Савнӑ хӗршӗн пуянлӑх
Bu varlığı topladım	Кунӗн çӗрӗн пуçтартӑм
Ne gece ne de gündüz	Кӑнтӑрла та çӗрле те
Rahat uyku görmedim	Канлӗ ыйхӗ курмарӑм
Kızım için uğraşıp	Хӗрӗмшӗнех тӑрӑшса
Gözlerimi yummadım	Куçӗмсене хупмарӑм
Seni kime vereyim	Епле качча парӑп ши
Diye her an düşündüm	Тесе ялан шутларӑм
Bahtın için uğraşıp	Хӗр телейӗн тӑрӑшса
Zengin koca aradım	Пуян каччӑ шырарӑм
Evlendirdim düğünle	Качча патӑм туй турӑм
Bak bugün neler oldu	Паян акӑ мӗн çитрӗ
Benim yaşlı başıma	Манӑн ватӑ пуçӑма
Bak şimdi neler geldi	Паян акӑ мӗн çирӗ
Yaşlı Kadın	Карчӑк
Acımadın annene	Шеллеместӗн аннўне
Tanrı versin cezanı	Ах çӗр çӑтманӑ пуçна
Kimin kızı oldun sen	Камӑн хӗрӗ пултӑн ши
Kim büyüttü ki seni	Кам ўстерчӗ ши сана
Miheter	Михетер
Küçücükten büyüttüm	Мӗн кӗçӗнрен ўстертӗм
Sana bakıp sevindim	Питне пӑхса савӑнма
İşte bugün geldi de	Çaк тарана çитрӗ те
Kızım için tükendim	Хӗрӗм çирӗ пуçӑма
Anne baba arzusu	Аçу аннў ирӗкӗ
Bir işe yaramadı	Пулчӗ çӗрӗ вырӑнне
Setner için döküldü	Пӗр Сетнершӗн тӑктартӑн
İkimizin ak saçı	Аçу аннўн шур çўçне
Kar etmedi zenginlik	Пулӑшмарӗ пуянлӑх
Kar etmedi sözler de	Пулӑшмарӗ сӑмах та
Zengin koca yanında	Пуян каччӑ çумӗнче
Aptal olunmaz böyle	Апла пулмӗ ухмах та
Narspi	Нарспи
Bu küçücük yaşımda	Аттеçӗм çамрӑк чух
Beni niye verdiniz	Мӗншӗн патӑр хӗрӗре
Şimdi yoksul olsa da	Пуянлӑхра анчах мар
Sevdiğiyle kızınız	Ыр курасси çыннинче
Annesi	Амӑшӗ
Ya kötü kız çok fazla	Усал ытлашши
Açma şimdi ağzını	Ан кар ӗнтӗ çӑварнӑ
Benim içimi yaktın	Аннўн ӑшне çунтаратӑн
Tanrı versin cezanı	Турӑран килесшӗ пуçна
Miheter	Михетер
Bu rezilliği yaptın	Çaк намӑса кӑтартрӑн
Köylüler ne diyecek	Ялти çынсем мӗн калӗç
Seni hatırlayarak	Хӗрне ан ман ват супнӑ
Hep beni gösterecek	Аçу çине кӑтартӗç
Fakat köylünün ağzı	Анчах ялти çӑвapceм
Ne kadar konuşsa da	Кирек мӗн те калаçчар
Adın kötüye çıksa	Яту çӗрнӗ пулсан та
Yine benim kızımsın	Çanax эсӗ манӑн хӗр
Haydi kızım dönelim	Атя хӗрӗм таврӑнар
Delik deşik bu evden	Шӑтӑк шатӑк ку пўртрен
Başka koca bulalım	Тепрер каччӑ тупӑпӑр
Daha kötü olmadan	Яту çӗрсех кайиччен
Haydi Narspi ağlama	Атя Нарспи ан хуйхӑр
Senin baban var yine	Санӑн аçу пур вӗт ха
Adın kötü olsa da	Яту п ӗтнӗ пулсан та
Baban zengindir gene	Аçун мулӗ пур вӗт ха
Yaşlı Kadın	Карчӑк
Haydi çabuk ol köpek	Атя йытӑ хӑвӑртрах
Bir kez bakmadın bana	Пӗртте мана пӑхмастӑн
Keçe yüz Setner  köpek	Сетнер йытӑ кӗççе пит
Zengin kızını kapma	Пуян хӗрне ан хапсӑн
Narspi	Нарспи
Ey babam babacığım	Аттеçӗм аттеçӗм
Niçin yediniz beni	Мӗншӗн мана çиетӗн
Günahlı kızınızı	Намӑс кўне хӗрӗре
İstiyorsunuz geri	Хӑвӑн патна чӗнетӗн
Yaşlı Kadın	Карчӑк
Bak işte ne söylüyor	Ав тата мӗн калаçать
Bak sevgili kızına	Савнӑ хӗрне итле ха
Miheter	Михетер
Yeter  kadın  konuşma	Çитӗ карчӑк вулашма
Kız konuşuyor dinle	Хӗр сӑмахне итлер ха
Narspi	Нарспи
Kadın olmuş başımla	Арӑм пулнӑ пуçӑмпа
Eve niçin geleyim	Киле пырса тӑрӑпи
Sevmediğim biriyle	Савман качча кайсассӑн
Niye azap çekeyim	Татах асап чӑтӑпи
Yok  yok  baba  çağırma	ÇyK çук атте ан чӗн те
Bundan sonra dönemem	Халь тин киле пыраймӑп
Bunlar olduktan sonra	Çaплa пулса пӗтсен тин
Ben koca bekleyemem	Каччӑ кӗтсе лараймӑп
Siz beni büyüttünüz	Эсир мана ўстертӗр
Çocuk iken sevdiniz	Ача чухне юратрӑр
Fakat büyüdüğümde	Анчах уссе çитрӗм те
Ruhumu bilmediniz	Хӗрӗр чунне курмарӑр
Ben size dua ettim	Эпӗ сире кӗлтурӑм
Ben size çok yalvardım	Эпӗ сире йӑлӑнтaм
Düğün yaklaşınca da	Вӗçне çите пуçласан
Çok ağlayıp sızladım	Йӑваланса макӑртӑм
Fakat siz kızınızı	Анчах эсир хӗрӗре
Bu yaşa getirdiniz	Ўcтepecce ўстертӗр
Sonra da para için	Ўстертӗр те укçашӑн
Öldürüp yok ettiniz	Сутса ярса пӗтертӗр
Çocukken kızınıza	Ача чухне хӗрӗре
Seviyoruz  derdiniz	Юрататпӑр теттӗрччӗ
Kızınız ne istese	Савнӑ хӗрӗр мӗн ыйтнӑ
İşte hazır derdiniz	Ӑна пурте хатӗрччӗ
Büyüyünce babama	Ўссе çитрӗм аттене
Bir yıl bekle  dedim de	Пӗр çул кӗт ха терӗм те
Baba sadece dövdü	Атте вӑрçса пӗтерчӗ
Anne saçımı yoldu	Анне çўçрен сӗтӗрчӗ
Niçin benim gönlümü	Мӗншӗн манӑн кӑмӑла
Bu zavallı gönlümü	Çaв юлашки кӑмӑла
Yapmadın babacığım	Тумарӑн ши аттеçӗм
Şimdi olmazdım böyle	Халь пулмӑттӑм каплалла
Niçin bu kızınızı	Мӗншӗн çапла ху хӗрне
Teslim ettiniz kurda	Парса ятӑн кашкӑра
Senin için güzellik	Саншӑн çав пур ырӑлӑх
Yalnız parada pulda	Мӗнпурӗ те укçара
